table_name	struct_name	struct_descript	query_descript
OCD_NGR	JanusNgr	Measurements of natural gamma radiation (NGR) counts acquired using NaI sensors on the whole-core multi-sensor track (WC-MST) system.	Natural Gamma Radiation (NGR)
OCD_PALEO_DATUM_REF	JanusPaleoDatumRef	Reference listing of taxon datum concepts.	Paleo Datum Reference
OCD_PALEO_IMAGE	JanusPaleoImage	Url links to prime data images of scanned Paleontology and Biostratigraphy log sheets. 	Paleo Image
OCD_PALEO_OCCURRENCE	JanusPaleoOccurrence	Fossil taxa occurrence (abundance and preservation) data, and age/zonation identification on a species by species basis for each sample.	Paleo Taxon Occurrence
OCD_PALEO_SAMPLE_INTERP	JanusPaleoSampleInterp	Interpretations at a sample-level by fossil group of abundance, preservation, geological age range, zonation range, paleobathymetry, and comments.	Paleo Sample Interpretation
OCD_PALEO_TAXONOMY_REF	JanusPaleoTaxonomyRef	Reference listing of taxon species concepts.	Paleo Taxonomy Reference
OCD_PALEO_ZONE_REF	JanusPaleoZoneRef	Reference listing of taxon datum zone concepts.	Paleo Zone Reference
OCD_PRIME_DATA_IMAGE	JanusPrimeDataImage	URL links to scanned images of prime data types including visual core description (VCD), Paleontology, VCD hard rock, VCD structual, and X-ray diffraction (XRD).	Prime Data Image
OCD_PWL	JanusPwl	Measurements of P-wave velocity collected by the sonic velocity sensor on a whole-core multi-sensing track (WC-MST) system.	Whole-Core P-Wave Velocity
OCD_PWS1	JanusPws1	Measurements of P-wave velocity in the z-direction on split cores.	P-Wave Velocity (z)
OCD_PWS2	JanusPws2	Measurements of P-wave velocity in the y-direction on split cores.	P-Wave Velocity (y)
OCD_PWS3	JanusPws3	Measurements of P-wave velocity in the x-direction on split cores with or without core liners, and in the x, y, and z-directions on cubic or cylindrical, consolidated, or lithified core specimens.	P-Wave Velocity (x,y,z)
OCD_RSC	JanusRsc	Measurements of Reflectance Spectrophotometry and Colorimetry taken on cores using a Minolta CM2002 camera.	Reflectance Spectrophotometry and Colorimetry
OCD_SHEAR_STRENGTH_AVS	JanusShearStrengthAvs	Measurements of the torque required to cause a split-core cylindrical surface to be sheared by an automated vane system (AVS).	Shear Strength (Automated Vane Shear – AVS)
OCD_SHEAR_STRENGTH_PEN	JanusShearStrengthPen	Measurements of the unconfined compressive strength of a split-core surface using a pocket penetrometer.	Shear Strength (Penetrometer)
OCD_SHEAR_STRENGTH_TOR	JanusShearStrengthTor	Measurements of shear strength on a split-core using a hand-held Torvane instrument.	Shear Strength (Torvane)
OCD_SMEAR_SLIDE	JanusSmearSlide	Quantitative and qualitative abundances at a sample-level of sedimentary components as observed in microscopic smear slides.	Smear Slide Components
OCD_SMEAR_SLIDE_COMP_REF	JanusSmearSlideCompRef	Reference listing of smear slide components.	Smear Slide Component Reference
OCD_SPLICE_INTERVAL	JanusSpliceInterval	Summary of core stratigraphic depth correlation between holes at a site derived from downhole depth-shifting and correlation of multiple core and logging datasets.	Splice Interval Listing
OCD_SPLICE_TIE	JanusSpliceTie	Detail of core stratigraphic depth correlation between holes at a site derived from downhole depth-shifting and correlation of multiple core and logging datasets.	Splice Tie Point Listing
OCD_TENSOR_CORE	JanusTensorCore	Measurements of magnetic core orientation.	Tensor Core Orientation
OCD_TENSOR_TOOL	JanusTensorTool	Metadata on Tensor Tool operation.	Tensor Tool
OCD_THERMAL_CONDUCTIVITY	JanusThermalConductivity	Measurement of thermal conductivity on whole cores after reaching thermal equilibrium in the shipboard laboratory environment using Teka temperature probes.	Thermal Conductivity
OCD_THIN_SECTION	JanusThinSection	Quantitative and qualitative abundances at a sample-level of sedimentary components as observed in microscopic thin sections.	Thin Section Components
OCD_THIN_SECTION_COMP_REF	JanusThinSectionCompRef	Reference listing of thin section components.	Thin Section Component Reference
OCD_THIN_SECTION_IMAGE	JanusThinSectionImage	URL links to images of thin section microphotographs.	Thin Section Image
OCD_VCD_HARD_ROCK_IMAGE	JanusVcdHardRockImage	URL links to scanned images of visual core descriptions (VCD) on hard rocks.	Visual Core Description (VCD) Hard Rock Image
OCD_VCD_IMAGE	JanusVcdImage	URL links to scanned images of visual core descriptions (VCD).	Visual Core Description (VCD) Image
OCD_VCD_STRUCTURE_IMAGE	JanusVcdStructureImage	URL links to scanned images of visual core descriptions (VCD) on core structure.	Visual Core Description (VCD) Structure Image
OCD_XRD	JanusXrd	URL links to X-Ray Diffraction (XRD) sample analysis scan data.	X-Ray Diffraction (XRD)
OCD_XRD_IMAGE	JanusXrdImage	URL links to scanned images of instrumentation output of X-Ray Diffraction (XRD) peak values.	X-Ray Diffraction (XRD) Image
OCD_XRF	JanusXrf	Measurements of concentrations of major and trace elements from X-Ray Fluorescence (XRF) spectrometry samples.	X-Ray Fluorescence (XRF)
